scientificName,redlistCategory
Calocedrus rupestris,Endangered
Turbinicarpus subterraneus,Endangered
Eriosyce esmeraldana,Endangered
Coleocephalocereus braunii,Critically Endangered
Mammillaria melaleuca,Endangered
Corryocactus tarijensis,Endangered
Parodia stockingeri,Endangered
Ferocactus flavovirens,Endangered
Melocactus andinus,Endangered
Parodia nigrispina,Endangered
Eriosyce crispa,Endangered
Matucana aureiflora,Critically Endangered
Leptocereus arboreus,Endangered
Cleistocactus winteri,Endangered
Echinocereus barthelowanus,Endangered
Peniocereus occidentalis,Critically Endangered
Coleocephalocereus diersianus,Critically Endangered
Gymnocalycium oenanthemum,Endangered
Echinopsis pampana,Endangered
Eriosyce calderana,Endangered
Rebutia krugerae,Endangered
Peniocereus maculatus,Critically Endangered
Brasilicereus phaeacanthus,Endangered
Rebutia glomeriseta,Endangered
Ferocactus chrysacanthus,Endangered
Disocactus macdougallii,Endangered
Cleistocactus sulcifer,Endangered
Consolea spinosissima,Endangered
Parodia muricata,Endangered
Disocactus eichlamii,Endangered
Mammillaria schumannii,Endangered
Pediocactus paradinei,Endangered
Eriosyce chilensis,Critically Endangered
Pereskia quisqueyana,Critically Endangered
Coleocephalocereus goebelianus,Endangered
Discocactus ferricola,Endangered
Parodia rechensis,Critically Endangered
Schlumbergera orssichiana,Endangered
Yavia cryptocarpa,Endangered
Rebutia albipectinata,Endangered
Hylocereus escuintlensis,Critically Endangered
Pfeiffera micrantha,Endangered
Cleistocactus hoffmannii,Critically Endangered
Gymnocalycium amerhauseri,Endangered
Parodia nothorauschii,Critically Endangered
Weberocereus trichophorus,Endangered
Hatiora herminiae,Endangered
Eriosyce laui,Critically Endangered
Mammillaria crucigera,Endangered
Leptocereus grantianus,Critically Endangered
Eriosyce umadeave,Endangered
Parodia werdermanniana,Critically Endangered
Peniocereus lazaro-cardenasii,Endangered
Parodia hausteiniana,Endangered
Mammillaria coahuilensis,Endangered
Parodia allosiphon,Endangered
Cleistocactus longiserpens,Endangered
Frailea fulviseta,Endangered
Peniocereus zopilotensis,Critically Endangered
Gymnocalycium denudatum,Endangered
Pilosocereus quadricentralis,Endangered
Leptocereus leonii,Critically Endangered
Melocactus matanzanus,Endangered
Echinopsis oligotricha,Endangered
Weberocereus imitans,Endangered
Pseudorhipsalis alata,Endangered
Melocactus braunii,Critically Endangered
Parodia warasii,Endangered
Echinocereus chisosensis,Endangered
Discocactus diersianus,Endangered
Eriosyce simulans,Endangered
Pachycereus gaumeri,Endangered
Mammillaria carmenae,Critically Endangered
Parodia nivosa,Critically Endangered
Dendrocereus nudiflorus,Endangered
Echinopsis hertrichiana,Endangered
Matucana ritteri,Critically Endangered
Pygmaeocereus bieblii,Endangered
Hatiora epiphylloides,Endangered
Gymnocalycium horstii,Endangered
Pilosocereus diersianus,Critically Endangered
Haageocereus pacalaensis,Critically Endangered
Oroya peruviana,Endangered
Rhipsalis pentaptera,Critically Endangered
Echinopsis angelesiae,Endangered
Myrtillocactus eichlamii,Critically Endangered
Matucana madisoniorum,Critically Endangered
Rhipsalis dissimilis,Endangered
Hylocereus calcaratus,Endangered
Cylindropuntia hystrix,Critically Endangered
Corynopuntia reflexispina,Critically Endangered
Leptocereus wrightii,Critically Endangered
Parodia leninghausii,Endangered
Rhipsalis mesembryanthemoides,Critically Endangered
Parodia horstii,Endangered
Corryocactus brachypetalus,Endangered
Echinopsis bolligeriana,Endangered
Mammillaria surculosa,Endangered
Sclerocactus nyensis,Endangered
Echinopsis coquimbana,Endangered
Disocactus biformis,Endangered
Eriosyce occulta,Endangered
Gymnocalycium ragonesei,Critically Endangered
Pygmaeocereus bylesianus,Critically Endangered
Parodia herteri,Critically Endangered
Matucana weberbaueri,Endangered
Mammillaria parkinsonii,Endangered
Echinocereus nivosus,Critically Endangered
Weberocereus frohningiorum,Critically Endangered
Maihueniopsis minuta,Endangered
Mammillaria theresae,Critically Endangered
Echinocereus sciurus,Endangered
Melocactus stramineus,Endangered
Cleistocactus jajoanus,Endangered
Gymnocalycium neuhuberi,Critically Endangered
Eriosyce iquiquensis,Endangered
Echinocereus leucanthus,Endangered
Mammillaria capensis,Endangered
Weberbauerocereus cephalomacrostibas,Endangered
Echinopsis walteri,Critically Endangered
Stenocereus chacalapensis,Critically Endangered
