grupo,nombre cientifico,Nombre común,Familia,Género,Epíteto específico,Categoría de amenaza,Estado taxonómico,Autoría nombre científico,Identificador del taxón,cites,uicn
Palma,Acoelorraphe wrightii,Wild Pop Thatch,Arecaceae,Acoelorraphe,wrightii,VU,Aceptado,(Griseb. & H.Wendl.) Becc.,gbif.org/species/166199832,,LC
Palma,Aiphanes acaulis,Mararay sin tallo,Arecaceae,Aiphanes,acaulis,EN,Aceptado,Galeano & R.Bernal,gbif.org/species/2738692,,
Palma,Aiphanes buenaventurae,,Arecaceae,Aiphanes,buenaventurae,EN,Aceptado,R.Bernal & Borchs.,gbif.org/species/7860099,,
Palma,Aiphanes duquei,Mararay de Duque,Arecaceae,Aiphanes,duquei,EN,Aceptado,Burret,gbif.org/species/2738682,,EN
Palma,Aiphanes gelatinosa,Mararay Gelatinoso,Arecaceae,Aiphanes,gelatinosa,EN,Aceptado,H.E.Moore,gbif.org/species/2738667,,EN
Palma,Aiphanes graminifolia,Mararay macanillo,Arecaceae,Aiphanes,graminifolia,CR,Aceptado,Galeano & R.Bernal,gbif.org/species/2738691,,
Palma,Aiphanes killipii,,Arecaceae,Aiphanes,killipii,CR,Aceptado,(Burret) Burret,gbif.org/species/2738655,,
Palma,Aiphanes leiostachys,Mararay de San Carlos,Arecaceae,Aiphanes,leiostachys,CR,Aceptado,Burret,gbif.org/species/2738694,,EN
Palma,Aiphanes lindeniana,,Arecaceae,Aiphanes,lindeniana,EN,Aceptado,(H.Wendl.) H.Wendl.,gbif.org/species/2738716,,VU
Palma,Aiphanes parvifolia,Mararay hojipequeño,Arecaceae,Aiphanes,parvifolia,EN,Aceptado,Burret,gbif.org/species/2738666,,
Palma,Aiphanes pilaris,Marary de pilar,Arecaceae,Aiphanes,pilaris,CR,Aceptado,R.Bernal,gbif.org/species/2738663,,CR
Palma,Astrocaryum malybo,Palma estera,Arecaceae,Astrocaryum,malybo,EN,Aceptado,H.Karst.,gbif.org/species/2738128,,
Palma,Astrocaryum triandrum,Guatinajo,Arecaceae,Astrocaryum,triandrum,EN,Aceptado,"Galeano, R.Bernal & F.Kahn",gbif.org/species/2738138,,EN
Palma,Attalea amygdalina,Táparo del Río Cauca,Arecaceae,Attalea,amygdalina,EN,Aceptado,Kunth,gbif.org/species/2732713,,
Palma,Attalea cohune,Mamarrón,Arecaceae,Attalea,cohune,EN,Aceptado,Mart.,gbif.org/species/2732676,,LC
Palma,Attalea colenda,Palma Real de Tumaco,Arecaceae,Attalea,colenda,EN,Aceptado,(O.F.Cook) Balslev & A.J.Hend.,gbif.org/species/2732716,,LC
Palma,Attalea iguadummat,,Arecaceae,Attalea,iguadummat,VU,Aceptado,de Nevers,gbif.org/species/2732804,,
Palma,Attalea nucifera,Almendrón,Arecaceae,Attalea,nucifera,VU,Aceptado,H.Karst.,gbif.org/species/2732819,,
Palma,Bactris charnleyae,,Arecaceae,Bactris,charnleyae,VU,Aceptado,"de Nevers, A.J.Hend. & Grayum",gbif.org/species/2732936,,DD
Palma,Bactris rostrata,Chacarrá picudo,Arecaceae,Bactris,rostrata,VU,Aceptado,Galeano & R.Bernal,gbif.org/species/2733117,,
Palma,Calyptrogyne costatifrons,,Arecaceae,Calyptrogyne,costatifrons,VU,Aceptado,(L.H.Bailey) de Nevers,gbif.org/species/2732323,,LC
Palma,Ceroxylon alpinum,Palma de cera de la zona cafetera,Arecaceae,Ceroxylon,alpinum,EN,Aceptado,Bonpl. ex DC.,gbif.org/species/2731822,II,EN
Palma,Ceroxylon ceriferum,,Arecaceae,Ceroxylon,ceriferum,EN,Aceptado,(H.Karst.) Pittier,gbif.org/species/2731851,II,VU
Palma,Ceroxylon parvifrons,,Arecaceae,Ceroxylon,parvifrons,VU,Aceptado,(Engel) H.Wendl.,gbif.org/species/2731844,II,
Palma,Ceroxylon quindiuense,Palma de cera del Quindío,Arecaceae,Ceroxylon,quindiuense,EN,Aceptado,(H.Karst.) H.Wendl.,gbif.org/species/2731831,II,CR
Palma,Ceroxylon sasaimae,Palma de Cera de Sasaima,Arecaceae,Ceroxylon,sasaimae,EN,Aceptado,Galeano,gbif.org/species/2731843,II,EN
Palma,Ceroxylon ventricosum,Palma de cera barrigona,Arecaceae,Ceroxylon,ventricosum,EN,Aceptado,Burret,gbif.org/species/2731829,II,
Palma,Ceroxylon vogelianum,,Arecaceae,Ceroxylon,vogelianum,VU,Aceptado,(Engel) H.Wendl.,gbif.org/species/2731834,II,LC
Palma,Chamaedorea pumila,,Arecaceae,Chamaedorea,pumila,VU,Aceptado,H.Wendl.,gbif.org/species/166200176,II,
Palma,Chamaedorea pygmaea,Molinillo enano,Arecaceae,Chamaedorea,pygmaea,VU,Aceptado,H.Wendl.,gbif.org/species/2734587,II,
Palma,Chamaedorea ricardoi,Molinillo de Ricardo,Arecaceae,Chamaedorea,ricardoi,EN,Aceptado,"R.Bernal, Galeano & Hodel",gbif.org/species/2734534,II,
Palma,Chamaedorea subjectifolia,,Arecaceae,Chamaedorea,subjectifolia,VU,Aceptado,Hodel,gbif.org/species/2734705,II,
Palma,Coccothrinax argentata,Palmicha de Providencia,Arecaceae,Coccothrinax,argentata,EN,Aceptado,(Jacq.) L.H.Bailey,gbif.org/species/2735294,,LC
Palma,Cryosophila kalbreyeri,Palma Escoba,Arecaceae,Cryosophila,kalbreyeri,VU,Aceptado,(Dammer ex Burret) Dahlgren,gbif.org/species/2731944,,LC
Palma,Elaeis oleifera,Nolí,Arecaceae,Elaeis,oleifera,EN,Aceptado,(Kunth) Cortés,gbif.org/species/8791596,,
Palma,Geonoma bernalii,,Arecaceae,Geonoma,bernalii,EN,Aceptado,A.J.Hend.,gbif.org/species/8424934,,
Palma,Geonoma chlamydostachys,Geonoma del Magdalena,Arecaceae,Geonoma,chlamydostachys,VU,Aceptado,Galeano,gbif.org/species/2734322,,
Palma,Geonoma galeanoae,,Arecaceae,Geonoma,galeanoae,VU,Aceptado,A.J.Hend.,gbif.org/species/7890594,,
Palma,Geonoma santanderensis,Geonoma de Santander,Arecaceae,Geonoma,santanderensis,VU,Aceptado,Galeano & R.Bernal,gbif.org/species/2734046,,
Palma,Hyospathe frontinensis,Guagualín de Frontino,Arecaceae,Hyospathe,frontinensis,VU,Aceptado,A.J.Hend.,gbif.org/species/2736705,,LC
Palma,Hyospathe wendlandiana,Guagualín de Wendland,Arecaceae,Hyospathe,wendlandiana,EN,Aceptado,Dammer ex Burret,gbif.org/species/2736728,,
