Código zona de vida,Zona de vida,Nombre científico,Nombre común,Familia,Grupo sucesional,Amenaza (IUCN/Nacional),Observaciones
bh-Msp,Bosque húmedo montano (subpáramo),Baccharis macrantha,Chilco,Asteraceae,Pionera,LC,
bh-Msp,Bosque húmedo montano (subpáramo),Diplostephium revolutum,Romero de páramo,Asteraceae,Pionera,LC,
bh-Msp,Bosque húmedo montano (subpáramo),Gynoxys sp.,Ciro de páramo,Asteraceae,Pionera,LC,
bh-Msp,Bosque húmedo montano (subpáramo),Hypericum laricifolium,Garbancillo,Hypericaceae,Pionera,LC,
bh-Msp,Bosque húmedo montano (subpáramo),Polylepis quadrijuga,Coloradito,Rosaceae,Secundaria tardía,VU,
bh-MB,Bosque húmedo montano bajo,Alnus acuminata,Aliso,Betulaceae,Pionera,LC,
bh-MB,Bosque húmedo montano bajo,Cedrela montana,Cedro de montaña,Meliaceae,Secundaria tardía,VU,
bh-MB,Bosque húmedo montano bajo,Hedyosmum racemosum,Granizo,Chloranthaceae,Secundaria,LC,
bh-MB,Bosque húmedo montano bajo,Juglans neotropica,Cedro nogal,Juglandaceae,Secundaria tardía,EN,
bh-MB,Bosque húmedo montano bajo,Myrcianthes leucoxyla,Arrayán,Myrtaceae,Secundaria,LC,
bh-MB,Bosque húmedo montano bajo,Quercus humboldtii,Roble andino,Fagaceae,Secundaria tardía,VU,Corregido de LC a VU (IUCN y fuentes nacionales: Vulnerable).
bh-MB,Bosque húmedo montano bajo,Retrophyllum rospigliosii,Pino romerón,Podocarpaceae,Secundaria tardía,VU,
bh-MB,Bosque húmedo montano bajo,Weinmannia tomentosa,Encenillo,Cunoniaceae,Secundaria tardía,LC,
bh-MB,Bosque húmedo montano bajo,Xylosma spiculifera,Corono,Salicaceae,Pionera,LC,
bh-PM,Bosque húmedo premontano,Cecropia peltata,Yarumo,Urticaceae,Pionera,LC,
bh-PM,Bosque húmedo premontano,Cedrela odorata,Cedro,Meliaceae,Secundaria tardía,VU,
bh-PM,Bosque húmedo premontano,Cordia alliodora,Nogal cafetero,Boraginaceae,Secundaria,LC,
bh-PM,Bosque húmedo premontano,Croton magdalenensis,Sangregado,Euphorbiaceae,Pionera,LC,
bh-PM,Bosque húmedo premontano,Gliricidia sepium,Matarratón,Fabaceae,Pionera,LC,
bh-PM,Bosque húmedo premontano,Jacaranda caucana,Gualanday,Bignoniaceae,Secundaria,LC,
bh-PM,Bosque húmedo premontano,Sapindus saponaria,Chambimbe,Sapindaceae,Secundaria,LC,
bh-PM,Bosque húmedo premontano,Tabebuia rosea,Ocobo,Bignoniaceae,Secundaria tardía,LC,
bh-T,Bosque húmedo tropical,Anacardium excelsum,Caracolí,Anacardiaceae,Tardía,LC,
bh-T,Bosque húmedo tropical,Aspidosperma polyneuron,Carreto,Apocynaceae,Secundaria tardía,EN,
bh-T,Bosque húmedo tropical,Attalea butyracea,Palma de vino / Corozo,Arecaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Brosimum alicastrum,Guaimaro,Moraceae,Tardía,LC,
bh-T,Bosque húmedo tropical,Cariniana pyriformis,Abarco,Lecythidaceae,Tardía,CR,
bh-T,Bosque húmedo tropical,Cecropia peltata,Yarumo,Urticaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Cedrela odorata,Cedro,Meliaceae,Secundaria tardía,VU,
bh-T,Bosque húmedo tropical,Ceiba pentandra,Ceiba,Malvaceae,Secundaria tardía,LC,
bh-T,Bosque húmedo tropical,Cordia alliodora,Nogal cafetero,Boraginaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Enterolobium cyclocarpum,Orejero,Fabaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Erythrina fusca,Cantagallo,Fabaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Ficus insipida,Higuerón,Moraceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Genipa americana,Jagua,Rubiaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Guarea guidonia,Trompillo,Meliaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Guazuma ulmifolia,Guácimo,Malvaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Heliocarpus americanus,Balso blanco,Malvaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Hura crepitans,Habillo,Euphorbiaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Hymenaea courbaril,Algarrobo,Fabaceae,Secundaria tardía,LC,
bh-T,Bosque húmedo tropical,Inga edulis,Guamo,Fabaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Ochroma pyramidale,Balso,Malvaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Pachira quinata,Ceiba tolúa / Ceiba roja,Malvaceae,Tardía,VU,Sin. Bombacopsis quinata (mismo taxón; aparecía duplicado). Amenaza: EN según Libro Rojo de Colombia (Cárdenas & Salinas 2007); IUCN global=VU (1998).
bh-T,Bosque húmedo tropical,Pseudobombax septenatum,Ceiba barrigona,Malvaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Samanea saman,Campano,Fabaceae,Secundaria,LC,Grupo sucesional inconsistente entre zonas de vida (Pionera vs. Secundaria) en el archivo original; no se encontró fuente concluyente para unificar. Revisar con criterio de campo.
bh-T,Bosque húmedo tropical,Spondias mombin,Jobo,Anacardiaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Sterculia apetala,Camajón,Malvaceae,Secundaria tardía,LC,
bh-T,Bosque húmedo tropical,Swietenia macrophylla,Caoba,Meliaceae,Tardía,VU,
bh-T,Bosque húmedo tropical,Tabebuia rosea,Ocobo,Bignoniaceae,Secundaria tardía,LC,
bh-T,Bosque húmedo tropical,Tapirira guianensis,Cedrillo,Anacardiaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Terminalia amazonia,Guayabo amarillo / Amarillo,Combretaceae,Secundaria tardía,LC,
bh-T,Bosque húmedo tropical,Trema micranthum,Zurrumbo,Cannabaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Trichanthera gigantea,Nacedero,Acanthaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Triplaris americana,Varasanta,Polygonaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Vismia baccifera,Carate,Hypericaceae,Pionera,LC,
bh-T,Bosque húmedo tropical,Xylopia aromatica,Frisolillo,Annonaceae,Secundaria,LC,
bh-T,Bosque húmedo tropical,Zanthoxylum rhoifolium,Tachuelo,Rutaceae,Secundaria,LC,
