departamento,municipio,car
Antioquia,Abejorral,CORNARE
Antioquia,Alejandría,CORNARE
Antioquia,Amagá,CORANTIOQUIA
Antioquia,Amalfi,CORANTIOQUIA
Antioquia,Andes,CORANTIOQUIA
Antioquia,Angelópolis,CORANTIOQUIA
Antioquia,Angostura,CORANTIOQUIA
Antioquia,Anorí,CORANTIOQUIA
Antioquia,Anzá,CORANTIOQUIA
Antioquia,Argelia,CORNARE
Antioquia,Armenia,CORANTIOQUIA
Antioquia,Barbosa,CORANTIOQUIA
Antioquia,Bello,CORANTIOQUIA
Antioquia,Betania,CORANTIOQUIA
Antioquia,Betulia,CORANTIOQUIA
Antioquia,Buriticá,CORANTIOQUIA
Antioquia,Caicedo,CORANTIOQUIA
Antioquia,Caldas,CORANTIOQUIA
Antioquia,Caracolí,CORANTIOQUIA
Antioquia,Caramanta,CORANTIOQUIA
Antioquia,Carmen De Viboral,CORNARE
Antioquia,Caucasia,CORANTIOQUIA
Antioquia,Cisneros,CORANTIOQUIA
Antioquia,Ciudad Bolívar,CORANTIOQUIA
Antioquia,Cocorná,CORNARE
Antioquia,Concepción,CORNARE
Antioquia,Concordia,CORANTIOQUIA
Antioquia,Copacabana,CORANTIOQUIA
Antioquia,Cáceres,CORANTIOQUIA
Antioquia,El Bagre,CORANTIOQUIA
Antioquia,El Retiro,CORNARE
Antioquia,Envigado,CORANTIOQUIA
Antioquia,Fredonia,CORANTIOQUIA
Antioquia,Girardota,CORANTIOQUIA
Antioquia,Granada,CORNARE
Antioquia,Guarne,CORNARE
Antioquia,Guatapé,CORNARE
Antioquia,Hispania,CORANTIOQUIA
Antioquia,Itagüí,CORANTIOQUIA
Antioquia,Ituango,CORANTIOQUIA
Antioquia,Jardín,CORANTIOQUIA
Antioquia,Jericó,CORANTIOQUIA
Antioquia,La Ceja,CORNARE
Antioquia,La Estrella,CORANTIOQUIA
Antioquia,La Pintada,CORANTIOQUIA
Antioquia,La Unión,CORNARE
Antioquia,Maceo,CORANTIOQUIA
Antioquia,Marinilla,CORNARE
Antioquia,Medellín,CORANTIOQUIA
Antioquia,Montebello,CORANTIOQUIA
Antioquia,Nariño,CORNARE
Antioquia,Nechí,CORANTIOQUIA
Antioquia,Peñol,CORNARE
Antioquia,Pueblorrico,CORANTIOQUIA
Antioquia,Puerto Berrío,CORANTIOQUIA
Antioquia,Puerto Nare,CORANTIOQUIA
Antioquia,Puerto Triunfo,CORNARE
Antioquia,Remedios,CORANTIOQUIA
Antioquia,Rionegro,CORNARE
Antioquia,Sabanalarga,CORANTIOQUIA
Antioquia,Sabaneta,CORANTIOQUIA
Antioquia,Salgar,CORANTIOQUIA
Antioquia,San Carlos,CORNARE
Antioquia,San Francisco,CORNARE
Antioquia,San Luis,CORNARE
Antioquia,San Rafael,CORNARE
Antioquia,San Roque,CORANTIOQUIA
Antioquia,San Roque,CORNARE
Antioquia,San Vicente,CORNARE
Antioquia,Santa Bárbara,CORANTIOQUIA
Antioquia,Santa Fe De Antioquia,CORANTIOQUIA
Antioquia,Santa Rosa De Osos,CORANTIOQUIA
Antioquia,Santo Domingo,CORNARE
Antioquia,Santuario,CORNARE
Antioquia,Segovia,CORANTIOQUIA
Antioquia,Sonsón,CORNARE
Antioquia,Tarazá,CORANTIOQUIA
Antioquia,Tarso,CORANTIOQUIA
Antioquia,Titiribí,CORANTIOQUIA
Antioquia,Valdivia,CORANTIOQUIA
Antioquia,Valparaiso,CORANTIOQUIA
Antioquia,Vegachí,CORANTIOQUIA
Antioquia,Yalí,CORANTIOQUIA
Antioquia,Yarumal,CORANTIOQUIA
Antioquia,Yolombó,CORANTIOQUIA
Antioquia,Zaragoza,CORANTIOQUIA
Arauca,Arauca,CORPORINOQUIA
Arauca,Arauquita,CORPORINOQUIA
Arauca,Cravo Norte,CORPORINOQUIA
Arauca,Fortul,CORPORINOQUIA
Arauca,Puerto Rondón,CORPORINOQUIA
Arauca,Saravena,CORPORINOQUIA
Arauca,Tame,CORPORINOQUIA
Bogotá D.C.,Bogotá D.C. (área rural),CAR
Boyacá,Almeida,CORPOCHIVOR
Boyacá,Aquitania,CORPOBOYACÁ
Boyacá,Arcabuco,CORPOBOYACÁ
Boyacá,Belén,CORPOBOYACÁ
Boyacá,Berbeo,CORPOBOYACÁ
Boyacá,Betéitiva,CORPOBOYACÁ
Boyacá,Boavita,CORPOBOYACÁ
Boyacá,Boyacá,CORPOCHIVOR
Boyacá,Briceño,CORPOBOYACÁ
Boyacá,Buenavista,CORPOBOYACÁ
Boyacá,Buenavista,CAR
Boyacá,Busbanzá,CORPOBOYACÁ
Boyacá,Caldas,CORPOBOYACÁ
Boyacá,Caldas,CAR
Boyacá,Campohermoso,CORPOCHIVOR
Boyacá,Cerinza,CORPOBOYACÁ
Boyacá,Chinavita,CORPOCHIVOR
Boyacá,Chiquinquirá,CORPOBOYACÁ
Boyacá,Chiquinquirá,CAR
Boyacá,Chiscas,CORPOBOYACÁ
Boyacá,Chita,CORPOBOYACÁ
Boyacá,Chitaraque,CORPOBOYACÁ
Boyacá,Chivatá,CORPOBOYACÁ
Boyacá,Chivor,CORPOCHIVOR
Boyacá,Chíquiza,CORPOBOYACÁ
Boyacá,Ciénega,CORPOCHIVOR
Boyacá,Coper,CORPOBOYACÁ
Boyacá,Corrales,CORPOBOYACÁ
Boyacá,Covarachía,CORPOBOYACÁ
Boyacá,Cubará,CORPOBOYACÁ
Boyacá,Cubará,CORPORINOQUIA
Boyacá,Cucaita,CORPOBOYACÁ
Boyacá,Cuítiva,CORPOBOYACÁ
Boyacá,Cómbita,CORPOBOYACÁ
Boyacá,Duitama,CORPOBOYACÁ
Boyacá,El Cocuy,CORPOBOYACÁ
Boyacá,El Espino,CORPOBOYACÁ
Boyacá,Firavitoba,CORPOBOYACÁ
Boyacá,Floresta,CORPOBOYACÁ
Boyacá,Garagoa,CORPOCHIVOR
Boyacá,Guacamayas,CORPOBOYACÁ
Boyacá,Guateque,CORPOCHIVOR
Boyacá,Guayatá,CORPOCHIVOR
Boyacá,Gámeza,CORPOBOYACÁ
Boyacá,Güicán De La Sierra,CORPOBOYACÁ
Boyacá,Iza,CORPOBOYACÁ
Boyacá,Jenesano,CORPOCHIVOR
Boyacá,Jericó,CORPOBOYACÁ
Boyacá,La Capilla,CORPOCHIVOR
Boyacá,La Uvita,CORPOBOYACÁ
Boyacá,La Victoria,CORPOBOYACÁ
Boyacá,Labranzagrande,CORPORINOQUIA
Boyacá,Macanal,CORPOBOYACÁ
Boyacá,Macanal,CORPOCHIVOR
Boyacá,Maripí,CORPOBOYACÁ
Boyacá,Miraflores,CORPOBOYACÁ
Boyacá,Mongua,CORPOBOYACÁ
Boyacá,Monguí,CORPOBOYACÁ
Boyacá,Moniquirá,CORPOBOYACÁ
Boyacá,Motavita,CORPOBOYACÁ
Boyacá,Muzo,CORPOBOYACÁ
Boyacá,Nobsa,CORPOBOYACÁ
Boyacá,Nuevo Colón,CORPOCHIVOR
Boyacá,Oicatá,CORPOBOYACÁ
Boyacá,Otanche,CORPOBOYACÁ
Boyacá,Pachavita,CORPOCHIVOR
Boyacá,Paipa,CORPOBOYACÁ
Boyacá,Pajarito,CORPORINOQUIA
Boyacá,Panqueba,CORPOBOYACÁ
Boyacá,Pauna,CORPOBOYACÁ
Boyacá,Paya,CORPORINOQUIA
Boyacá,Paz De Rio,CORPOBOYACÁ
Boyacá,Pesca,CORPOBOYACÁ
Boyacá,Pisba,CORPORINOQUIA
Boyacá,Páez,CORPOBOYACÁ
Boyacá,Quípama,CORPOBOYACÁ
Boyacá,Ramiriquí,CORPOCHIVOR
Boyacá,Rondón,CORPOBOYACÁ
Boyacá,Ráquira,CORPOBOYACÁ
Boyacá,Ráquira,CAR
Boyacá,Saboyá,CORPOBOYACÁ
Boyacá,Saboyá,CAR
Boyacá,Samacá,CORPOBOYACÁ
Boyacá,San Eduardo,CORPOBOYACÁ
Boyacá,San José De Pare,CORPOBOYACÁ
Boyacá,San Luis De Gaceno,CORPOCHIVOR
Boyacá,San Mateo,CORPOBOYACÁ
Boyacá,San Miguel De Sema,CORPOBOYACÁ
Boyacá,San Miguel De Sema,CAR
Boyacá,Santa María,CORPOBOYACÁ
Boyacá,Santa María,CORPOCHIVOR
Boyacá,Santa Rosa De Viterbo,CORPOBOYACÁ
Boyacá,Santa Sofía,CORPOBOYACÁ
Boyacá,Sativanorte,CORPOBOYACÁ
Boyacá,Sativasur,CORPOBOYACÁ
Boyacá,Siachoque,CORPOBOYACÁ
Boyacá,Soatá,CORPOBOYACÁ
Boyacá,Socha,CORPOBOYACÁ
Boyacá,Socotá,CORPOBOYACÁ
Boyacá,Sogamoso,CORPOBOYACÁ
Boyacá,Somondoco,CORPOCHIVOR
Boyacá,Sora,CORPOBOYACÁ
Boyacá,Sotaquirá,CORPOBOYACÁ
Boyacá,Susacón,CORPOBOYACÁ
