Zona de vida,Nombre científico,Nombre común,Familia,Grupo sucesional,Amenaza (IUCN/Nacional),Observaciones
Bosque húmedo montano (subpáramo),Baccharis macrantha,Chilco,Asteraceae,Pionera,LC,
Bosque húmedo montano (subpáramo),Diplostephium revolutum,Romero de páramo,Asteraceae,Pionera,LC,
Bosque húmedo montano (subpáramo),Gynoxys sp.,Ciro de páramo,Asteraceae,Pionera,LC,
Bosque húmedo montano (subpáramo),Hypericum laricifolium,Garbancillo,Hypericaceae,Pionera,LC,
Bosque húmedo montano (subpáramo),Polylepis quadrijuga,Coloradito,Rosaceae,Secundaria tardía,VU,
Bosque húmedo montano bajo,Alnus acuminata,Aliso,Betulaceae,Pionera,LC,
Bosque húmedo montano bajo,Cedrela montana,Cedro de montaña,Meliaceae,Secundaria tardía,VU,
Bosque húmedo montano bajo,Hedyosmum racemosum,Granizo,Chloranthaceae,Secundaria,LC,
Bosque húmedo montano bajo,Juglans neotropica,Cedro nogal,Juglandaceae,Secundaria tardía,EN,
Bosque húmedo montano bajo,Myrcianthes leucoxyla,Arrayán,Myrtaceae,Secundaria,LC,
Bosque húmedo montano bajo,Quercus humboldtii,Roble andino,Fagaceae,Secundaria tardía,VU,Corregido de LC a VU (IUCN y fuentes nacionales: Vulnerable).
Bosque húmedo montano bajo,Retrophyllum rospigliosii,Pino romerón,Podocarpaceae,Secundaria tardía,VU,
Bosque húmedo montano bajo,Weinmannia tomentosa,Encenillo,Cunoniaceae,Secundaria tardía,LC,
Bosque húmedo montano bajo,Xylosma spiculifera,Corono,Salicaceae,Pionera,LC,
Bosque húmedo premontano,Cecropia peltata,Yarumo,Urticaceae,Pionera,LC,
Bosque húmedo premontano,Cedrela odorata,Cedro,Meliaceae,Secundaria tardía,VU,
Bosque húmedo premontano,Cordia alliodora,Nogal cafetero,Boraginaceae,Secundaria,LC,
Bosque húmedo premontano,Croton magdalenensis,Sangregado,Euphorbiaceae,Pionera,LC,
Bosque húmedo premontano,Gliricidia sepium,Matarratón,Fabaceae,Pionera,LC,
Bosque húmedo premontano,Jacaranda caucana,Gualanday,Bignoniaceae,Secundaria,LC,
Bosque húmedo premontano,Sapindus saponaria,Chambimbe,Sapindaceae,Secundaria,LC,
Bosque húmedo premontano,Tabebuia rosea,Ocobo,Bignoniaceae,Secundaria tardía,LC,
Bosque húmedo tropical,Anacardium excelsum,Caracolí,Anacardiaceae,Tardía,LC,
Bosque húmedo tropical,Aspidosperma polyneuron,Carreto,Apocynaceae,Secundaria tardía,EN,
Bosque húmedo tropical,Attalea butyracea,Palma de vino / Corozo,Arecaceae,Pionera,LC,
Bosque húmedo tropical,Brosimum alicastrum,Guaimaro,Moraceae,Tardía,LC,
Bosque húmedo tropical,Cariniana pyriformis,Abarco,Lecythidaceae,Tardía,CR,
Bosque húmedo tropical,Cecropia peltata,Yarumo,Urticaceae,Pionera,LC,
Bosque húmedo tropical,Cedrela odorata,Cedro,Meliaceae,Secundaria tardía,VU,
Bosque húmedo tropical,Ceiba pentandra,Ceiba,Malvaceae,Secundaria tardía,LC,
Bosque húmedo tropical,Cordia alliodora,Nogal cafetero,Boraginaceae,Secundaria,LC,
Bosque húmedo tropical,Enterolobium cyclocarpum,Orejero,Fabaceae,Secundaria,LC,
Bosque húmedo tropical,Erythrina fusca,Cantagallo,Fabaceae,Secundaria,LC,
Bosque húmedo tropical,Ficus insipida,Higuerón,Moraceae,Secundaria,LC,
Bosque húmedo tropical,Genipa americana,Jagua,Rubiaceae,Secundaria,LC,
Bosque húmedo tropical,Guarea guidonia,Trompillo,Meliaceae,Secundaria,LC,
Bosque húmedo tropical,Guazuma ulmifolia,Guácimo,Malvaceae,Pionera,LC,
Bosque húmedo tropical,Heliocarpus americanus,Balso blanco,Malvaceae,Pionera,LC,
Bosque húmedo tropical,Hura crepitans,Habillo,Euphorbiaceae,Secundaria,LC,
Bosque húmedo tropical,Hymenaea courbaril,Algarrobo,Fabaceae,Secundaria tardía,LC,
Bosque húmedo tropical,Inga edulis,Guamo,Fabaceae,Secundaria,LC,
Bosque húmedo tropical,Ochroma pyramidale,Balso,Malvaceae,Pionera,LC,
